time,update_at,price
1622273323,1622272988631,14.98344131041345823339284267383497
1622273383,1622272988631,14.98344131041345823339284267383497
1622273443,1622272988631,14.98344131041345823339284267383497
1622273503,1622272988631,14.98344131041345823339284267383497
1622273563,1622272988631,14.98344131041345823339284267383497
1622273623,1622272988631,14.98344131041345823339284267383497
1622273683,1622272988631,14.98344131041345823339284267383497
1622273743,1622272988631,14.98344131041345823339284267383497
1622273803,1622272988631,14.98344131041345823339284267383497
1622273863,1622272988631,14.98344131041345823339284267383497
1622273923,1622272988631,14.98344131041345823339284267383497
1622273983,1622272988631,14.98344131041345823339284267383497
1622274043,1622272988631,14.98344131041345823339284267383497
1622274103,1622272988631,14.98344131041345823339284267383497
1622274163,1622272988631,14.98344131041345823339284267383497
1622274223,1622272988631,14.98344131041345823339284267383497
1622274283,1622272988631,14.98344131041345823339284267383497
1622274343,1622272988631,14.98344131041345823339284267383497
1622274403,1622272988631,14.98344131041345823339284267383497
1622274463,1622272988631,14.98344131041345823339284267383497
1622274523,1622272988631,14.98344131041345823339284267383497
1622274583,1622272988631,14.98344131041345823339284267383497
1622274643,1622272988631,14.98344131041345823339284267383497
1622274703,1622272988631,14.98344131041345823339284267383497
1622274763,1622272988631,14.98344131041345823339284267383497
1622274823,1622272988631,14.98344131041345823339284267383497
1622274883,1622272988631,14.98344131041345823339284267383497
1622274943,1622272988631,14.98344131041345823339284267383497
1622275003,1622272988631,14.98344131041345823339284267383497
1622275063,1622272988631,14.98344131041345823339284267383497
1622275123,1622272988631,14.98344131041345823339284267383497
1622275184,1622272988631,14.98344131041345823339284267383497
1622275243,1622272988631,14.98344131041345823339284267383497
1622275303,1622272988631,14.98344131041345823339284267383497
1622275363,1622272988631,14.98344131041345823339284267383497
1622275423,1622272988631,14.98344131041345823339284267383497
1622275483,1622272988631,14.98344131041345823339284267383497
1622275543,1622272988631,14.98344131041345823339284267383497
1622275603,1622272988631,14.98344131041345823339284267383497
1622275639,1622272988631,14.98344131041345823339284267383497
1622275669,1622272988631,14.98344131041345823339284267383497
1622275699,1622272988631,14.98344131041345823339284267383497
1622275729,1622272988631,14.98344131041345823339284267383497
1622275759,1622272988631,14.98344131041345823339284267383497
1622275791,1622275741090,14.69045093170756017082675943041242
1622275819,1622275741090,14.69045093170756017082675943041242
1622275849,1622275741090,14.69045093170756017082675943041242
1622275879,1622275741090,14.69045093170756017082675943041242
1622275909,1622275741090,14.69045093170756017082675943041242
1622275963,1622275741090,14.69045093170756017082675943041242
1622276023,1622275741090,14.69045093170756017082675943041242
1622276083,1622275741090,14.69045093170756017082675943041242
1622276143,1622275741090,14.69045093170756017082675943041242
1622276203,1622275741090,14.69045093170756017082675943041242
1622276263,1622275741090,14.69045093170756017082675943041242
1622276323,1622275741090,14.69045093170756017082675943041242
